# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
113             	6.29635698e-02	-3.60348332e-01	4.23311902e-01	-7.83660233e-01	-1.01556231e-01	-6.82104002e-01	2.90273885e-01	-3.91830117e-01	-3.14817849e-02	-1.89098738e-20	-3.14817849e-02	3.14817849e-02
114             	6.30161574e-02	-3.60746733e-01	4.23762890e-01	-7.84509623e-01	-1.01356381e-01	-6.83153243e-01	2.90898431e-01	-3.92254812e-01	-3.15080787e-02	-1.89292615e-20	-3.15080787e-02	3.15080787e-02
115             	6.30137810e-02	-3.61018334e-01	4.24032115e-01	-7.85050450e-01	-1.01219923e-01	-6.83830527e-01	2.91305302e-01	-3.92525225e-01	-3.15068905e-02	-1.89522790e-20	-3.15068905e-02	3.15068905e-02
116             	6.30036844e-02	-3.61332146e-01	4.24335830e-01	-7.85667977e-01	-1.01059598e-01	-6.84608379e-01	2.91774391e-01	-3.92833988e-01	-3.15018422e-02	-1.89768227e-20	-3.15018422e-02	3.15018422e-02
117             	6.30583212e-02	-3.61928764e-01	4.24987085e-01	-7.86915849e-01	-1.00756904e-01	-6.86158945e-01	2.92701021e-01	-3.93457925e-01	-3.15291606e-02	-1.90017156e-20	-3.15291606e-02	3.15291606e-02
118             	6.32049811e-02	-3.62778123e-01	4.25983104e-01	-7.88761226e-01	-1.00298884e-01	-6.88462343e-01	2.94081730e-01	-3.94380613e-01	-3.16024906e-02	-1.90257653e-20	-3.16024906e-02	3.16024906e-02
119             	6.36261736e-02	-3.64348227e-01	4.27974401e-01	-7.92322628e-01	-9.95341198e-02	-6.92788508e-01	2.96627194e-01	-3.96161314e-01	-3.18130868e-02	-1.90489394e-20	-3.18130868e-02	3.18130868e-02
120             	6.37976433e-02	-3.65010381e-01	4.28808024e-01	-7.93818405e-01	-9.91605845e-02	-6.94657820e-01	2.97748618e-01	-3.96909202e-01	-3.18988216e-02	-1.90717336e-20	-3.18988216e-02	3.18988216e-02
121             	6.39287847e-02	-3.65567780e-01	4.29496564e-01	-7.95064344e-01	-9.88577558e-02	-6.96206588e-01	2.98674416e-01	-3.97532172e-01	-3.19643923e-02	-1.90965130e-20	-3.19643923e-02	3.19643923e-02
122             	6.39479670e-02	-3.65826216e-01	4.29774183e-01	-7.95600398e-01	-9.87128576e-02	-6.96887541e-01	2.99087341e-01	-3.97800199e-01	-3.19739835e-02	-1.91275489e-20	-3.19739835e-02	3.19739835e-02
